engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,23,1,23216.400,23216.400,10440704,10440704,unavailable,13508608,3457024,3145728,unavailable,3145728,3145728,6324224
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,24,1,27509.100,27509.100,10444800,10432512,unavailable,13508608,3166208,3489792,unavailable,3489792,3489792,6324224
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,25,1,23728.800,23728.800,10432512,10498048,unavailable,13508608,3489792,3215360,unavailable,3215360,3215360,6324224
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,26,1,27531.900,27531.900,10498048,10498048,unavailable,13508608,3215360,3215360,unavailable,3215360,3215360,6324224
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,27,1,27437.300,27437.300,10498048,10440704,unavailable,13508608,3215360,3506176,unavailable,3506176,3506176,6324224
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,28,1,29777.200,29777.200,10444800,10448896,unavailable,13508608,3506176,3162112,unavailable,3162112,3162112,6324224
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,29,1,24313.700,24313.700,10448896,10596352,unavailable,13516800,3162112,3665920,unavailable,3665920,3665920,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,30,1,27978.600,27978.600,10596352,10514432,unavailable,13516800,3665920,3567616,unavailable,3567616,3567616,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,31,1,24672.600,24672.600,10514432,10526720,unavailable,13565952,3567616,3239936,unavailable,3239936,3239936,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,32,1,27251.900,27251.900,10526720,10428416,unavailable,13565952,3239936,3489792,unavailable,3489792,3489792,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,33,1,22488.000,22488.000,10428416,10510336,unavailable,13565952,3489792,3227648,unavailable,3227648,3227648,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,34,1,26274.000,26274.000,10510336,10493952,unavailable,13565952,3227648,3219456,unavailable,3219456,3219456,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,35,1,22264.500,22264.500,10493952,10596352,unavailable,13565952,3219456,3325952,unavailable,3325952,3325952,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,36,1,26817.800,26817.800,10596352,10661888,unavailable,13565952,3325952,3657728,unavailable,3657728,3657728,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,37,1,22415.300,22415.300,10665984,10579968,unavailable,13565952,3657728,3653632,unavailable,3653632,3653632,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,38,1,23548.000,23548.000,10579968,10596352,unavailable,13565952,3653632,3645440,unavailable,3645440,3645440,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,39,1,24349.500,24349.500,10596352,10584064,unavailable,13565952,3645440,3657728,unavailable,3657728,3657728,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,40,1,24408.400,24408.400,10584064,10604544,unavailable,13565952,3657728,3522560,unavailable,3522560,3522560,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,41,1,23328.700,23328.700,10604544,10596352,unavailable,13565952,3522560,3518464,unavailable,3518464,3518464,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,42,1,24306.000,24306.000,10596352,10534912,unavailable,13565952,3518464,3248128,unavailable,3248128,3248128,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,43,1,28026.500,28026.500,10534912,10665984,unavailable,13565952,3248128,3657728,unavailable,3657728,3657728,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,44,1,30268.000,30268.000,10665984,10657792,unavailable,13565952,3657728,3616768,unavailable,3616768,3616768,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,45,1,24247.300,24247.300,10657792,10506240,unavailable,13565952,3616768,3215360,unavailable,3215360,3215360,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,46,1,25066.600,25066.600,10510336,10518528,unavailable,13565952,3215360,3567616,unavailable,3567616,3567616,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,47,1,23517.200,23517.200,10518528,10575872,unavailable,13565952,3567616,3616768,unavailable,3616768,3616768,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,48,1,26352.000,26352.000,10575872,10649600,unavailable,13565952,3616768,3678208,unavailable,3678208,3678208,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,49,1,25602.100,25602.100,10649600,10686464,unavailable,13565952,3678208,3723264,unavailable,3723264,3723264,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,50,1,22973.100,22973.100,10686464,10579968,unavailable,13565952,3723264,3612672,unavailable,3612672,3612672,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,51,1,29171.700,29171.700,10579968,10670080,unavailable,13565952,3612672,3624960,unavailable,3624960,3624960,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,52,1,23085.200,23085.200,10670080,10633216,unavailable,13565952,3624960,3473408,unavailable,3473408,3473408,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,53,1,25957.500,25957.500,10633216,10657792,unavailable,13565952,3473408,3637248,unavailable,3637248,3637248,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,54,1,23844.900,23844.900,10657792,10584064,unavailable,13565952,3637248,3297280,unavailable,3297280,3297280,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,55,1,28974.500,28974.500,10584064,10584064,unavailable,13565952,3297280,3362816,unavailable,3362816,3362816,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,56,1,26233.200,26233.200,10616832,10665984,unavailable,13565952,3424256,3645440,unavailable,3645440,3645440,6393856
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,57,1,22864.400,22864.400,10665984,10670080,unavailable,13565952,3645440,3727360,unavailable,3727360,3727360,6455296
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,58,1,25003.500,25003.500,10670080,10616832,unavailable,13565952,3727360,3358720,unavailable,3358720,3358720,6459392
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,59,1,23807.000,23807.000,10620928,10547200,unavailable,13565952,3358720,3280896,unavailable,3280896,3280896,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,0,1,22.800,22.800,11702272,11706368,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,1,1,21.600,21.600,11706368,11706368,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,2,1,21.400,21.400,11706368,11706368,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,3,1,20.900,20.900,11706368,11706368,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,4,1,21.100,21.100,11706368,11706368,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,5,1,21.300,21.300,11706368,11706368,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,6,1,21.200,21.200,11706368,11706368,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,7,1,20.900,20.900,11706368,11706368,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,8,1,21.300,21.300,11710464,11710464,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,9,1,21.000,21.000,11710464,11710464,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,10,1,21.600,21.600,11710464,11710464,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,11,1,21.000,21.000,11710464,11710464,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,12,1,21.600,21.600,11710464,11710464,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,13,1,20.900,20.900,11710464,11710464,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,14,1,20.800,20.800,11710464,11710464,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,15,1,20.800,20.800,11710464,11710464,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,16,1,21.100,21.100,11710464,11710464,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,17,1,21.200,21.200,11714560,11714560,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,18,1,20.600,20.600,11714560,11714560,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,19,1,20.700,20.700,11714560,11714560,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,20,1,20.800,20.800,11714560,11714560,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,21,1,20.900,20.900,11714560,11714560,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,22,1,20.800,20.800,11714560,11714560,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,23,1,20.700,20.700,11714560,11714560,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
librime-1.17.0,track-a-comparison,luna_pinyin,key_sequence_process_with_context,n,24,1,20.800,20.800,11714560,11714560,unavailable,13565952,4280320,4280320,unavailable,4280320,4280320,6463488
