engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns,candidate_request_bounded_calls,candidate_request_unbounded_calls,candidate_request_page_limit_total,candidate_request_surplus_total,bounded_iterator_calls,bounded_iterator_limit_total,bounded_iterator_selected_total,bounded_iterator_full_count_total,full_list_translation_calls,full_list_fallback_count,exact_lookup_calls,exact_lookup_ns,exact_lookup_candidates,prefix_lookup_calls,prefix_lookup_ns,prefix_lookup_candidates,heap_exact_lookup_calls,heap_prefix_lookup_calls,no_marisa_compact_exact_lookup_calls,no_marisa_compact_prefix_lookup_calls,rsmarisa_exact_lookup_calls,rsmarisa_prefix_lookup_calls,abi_c_string_allocations,abi_c_string_bytes
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,0,3,3,116000,9,105500,217,60,60,200,600,4100,0,700,60,0,5,1,1100,5,1,100,3,0,15,45,3,60,60,60,0,0,3,7500,29,2,31100,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,1,3,3,116100,9,105500,217,60,60,100,500,4100,0,800,60,0,5,1,900,5,1,100,3,0,15,45,3,60,60,60,0,0,3,7100,29,2,31300,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,2,3,3,114600,9,104500,217,60,60,200,500,4100,200,900,60,0,5,1,900,5,1,100,3,0,15,45,3,60,60,60,0,0,3,6900,29,2,31100,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,3,3,3,113400,9,103500,217,60,60,0,600,3800,0,800,60,0,5,1,900,5,1,100,3,0,15,45,3,60,60,60,0,0,3,7100,29,2,30900,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,4,3,3,113300,9,103000,217,60,60,100,600,4100,200,900,60,0,5,1,1000,5,1,200,3,0,15,45,3,60,60,60,0,0,3,7100,29,2,30900,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,5,3,3,117900,9,107600,217,60,60,100,500,3900,0,900,60,0,5,1,1000,5,1,100,3,0,15,45,3,60,60,60,0,0,3,7200,29,2,30500,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,6,3,3,112600,9,102500,217,60,60,200,400,4000,300,800,60,0,5,1,900,5,1,200,3,0,15,45,3,60,60,60,0,0,3,6900,29,2,30400,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,7,3,3,112200,9,102100,217,60,60,100,400,3700,100,700,60,0,5,1,900,5,1,200,3,0,15,45,3,60,60,60,0,0,3,7000,29,2,30500,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,8,3,3,112800,9,102700,217,60,60,100,500,4000,200,800,60,0,5,1,900,5,1,100,3,0,15,45,3,60,60,60,0,0,3,6900,29,2,30700,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,9,3,3,112200,9,101900,217,60,60,100,500,4000,200,900,60,0,5,1,900,5,1,200,3,0,15,45,3,60,60,60,0,0,3,7100,29,2,30400,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,10,3,3,112200,9,101900,217,60,60,100,600,4000,200,800,60,0,5,1,900,5,1,100,3,0,15,45,3,60,60,60,0,0,3,7000,29,2,30600,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,11,3,3,112700,9,102500,217,60,60,200,400,3900,0,800,60,0,5,1,900,5,1,200,3,0,15,45,3,60,60,60,0,0,3,6900,29,2,30300,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,12,3,3,112000,9,101800,217,60,60,100,500,3900,100,800,60,0,5,1,900,5,1,200,3,0,15,45,3,60,60,60,0,0,3,7000,29,2,30700,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,13,3,3,112800,9,102600,217,60,60,0,400,4000,0,900,60,0,5,1,900,5,1,100,3,0,15,45,3,60,60,60,0,0,3,7100,29,2,30700,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,14,3,3,111800,9,101600,217,60,60,0,300,3800,0,800,60,0,5,1,1000,5,1,200,3,0,15,45,3,60,60,60,0,0,3,6800,29,2,30100,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,15,3,3,112300,9,102300,217,60,60,200,600,3900,100,900,60,0,5,1,900,5,1,200,3,0,15,45,3,60,60,60,0,0,3,7100,29,2,30400,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,16,3,3,112600,9,102700,217,60,60,100,400,3900,100,900,60,0,5,1,900,5,1,200,3,0,15,45,3,60,60,60,0,0,3,7000,29,2,30700,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,17,3,3,113300,9,102900,217,60,60,200,500,4200,100,700,60,0,5,1,900,5,1,200,3,0,15,45,3,60,60,60,0,0,3,7000,29,2,30900,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,18,3,3,112900,9,102600,217,60,60,100,400,4000,200,800,60,0,5,1,900,5,1,200,3,0,15,45,3,60,60,60,0,0,3,7100,29,2,30600,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,hao,19,3,3,111900,9,102000,217,60,60,300,500,3800,100,900,60,0,5,1,900,5,1,100,3,0,15,45,3,60,60,60,0,0,3,6900,29,2,30300,31,0,0,0,0,3,2,12,48
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,0,8,8,491000,24,461300,296,160,159,300,1500,11300,100,2600,159,0,5,1,1200,5,1,100,8,0,40,120,8,160,159,160,0,0,8,14200,31,7,294200,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,1,8,8,496300,24,466500,296,160,159,600,1600,11600,200,2700,159,0,5,1,1100,5,1,200,8,0,40,120,8,160,159,160,0,0,8,14100,31,7,294300,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,2,8,8,491800,24,462400,296,160,159,100,1300,11300,400,2400,159,0,5,1,1200,5,1,200,8,0,40,120,8,160,159,160,0,0,8,14100,31,7,294600,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,3,8,8,491200,24,462200,296,160,159,400,1400,11300,100,2600,159,0,5,1,1000,5,1,100,8,0,40,120,8,160,159,160,0,0,8,13800,31,7,294500,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,4,8,8,491400,24,461800,296,160,159,400,1400,11400,100,2200,159,0,5,1,1100,5,1,100,8,0,40,120,8,160,159,160,0,0,8,14000,31,7,293900,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,5,8,8,495500,24,466200,296,160,159,400,1400,11400,300,2600,159,0,5,1,1100,5,1,100,8,0,40,120,8,160,159,160,0,0,8,13900,31,7,297900,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,6,8,8,490100,24,460700,296,160,159,400,1400,11100,100,2400,159,0,5,1,1000,5,1,100,8,0,40,120,8,160,159,160,0,0,8,14100,31,7,293400,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,7,8,8,490500,24,460800,296,160,159,300,1600,11600,300,2700,159,0,5,1,1300,5,1,100,8,0,40,120,8,160,159,160,0,0,8,13900,31,7,293800,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,8,8,8,494300,24,465000,296,160,159,100,1400,11500,100,2600,159,0,5,1,1200,5,1,100,8,0,40,120,8,160,159,160,0,0,8,14000,31,7,292900,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,9,8,8,491700,24,462300,296,160,159,400,1300,11100,200,2500,159,0,5,1,1000,5,1,100,8,0,40,120,8,160,159,160,0,0,8,14000,31,7,292800,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,10,8,8,975900,24,906700,296,160,159,500,3900,24900,200,5300,159,0,5,1,4400,5,1,800,8,0,40,120,8,160,159,160,0,0,8,29600,31,7,598500,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,11,8,8,665200,24,627900,296,160,159,400,1800,13300,100,2800,159,0,5,1,1300,5,1,200,8,0,40,120,8,160,159,160,0,0,8,15200,31,7,349600,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,12,8,8,513200,24,482500,296,160,159,300,1600,11500,200,2600,159,0,5,1,1100,5,1,200,8,0,40,120,8,160,159,160,0,0,8,21100,31,7,301600,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,13,8,8,500300,24,470700,296,160,159,300,1400,11200,0,2600,159,0,5,1,1100,5,1,200,8,0,40,120,8,160,159,160,0,0,8,13700,31,7,302900,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,14,8,8,493400,24,464000,296,160,159,200,1400,11200,200,2500,159,0,5,1,1100,5,1,200,8,0,40,120,8,160,159,160,0,0,8,13800,31,7,297200,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,15,8,8,485200,24,456500,296,160,159,100,1300,11200,400,2600,159,0,5,1,1000,5,1,100,8,0,40,120,8,160,159,160,0,0,8,13800,31,7,291800,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,16,8,8,488200,24,459400,296,160,159,0,1400,11300,200,2600,159,0,5,1,1000,5,1,100,8,0,40,120,8,160,159,160,0,0,8,13800,31,7,292200,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,17,8,8,488200,24,458700,296,160,159,300,1500,11400,0,2600,159,0,5,1,1100,5,1,100,8,0,40,120,8,160,159,160,0,0,8,13800,31,7,294300,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,18,8,8,486200,24,457500,296,160,159,400,1500,11000,400,2600,159,0,5,1,1000,5,1,100,8,0,40,120,8,160,159,160,0,0,8,14000,31,7,292500,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,zhongguo,19,8,8,485600,24,456700,296,160,159,300,1500,11100,100,2800,159,0,5,1,1000,5,1,100,8,0,40,120,8,160,159,160,0,0,8,14100,31,7,292400,129,0,0,0,0,8,7,12,121
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,0,37,37,16473147800,111,16472121400,184,115,2814,27000,52300,329500,900,76700,2814,0,5,1,5800,5,1,600,37,0,185,555,10,200,114,115,0,27,64,1031700,28,63,1223400,87,0,0,0,0,64,63,7,260
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,1,37,37,16469965500,111,16468956300,184,115,2814,27700,51800,325500,200,69900,2814,0,5,1,5100,5,1,500,37,0,185,555,10,200,114,115,0,27,64,1038700,28,63,1208300,87,0,0,0,0,64,63,7,260
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,ceshiyixiachangjushuruxingnengzenyang,2,37,37,16750805600,111,16749687300,184,115,2814,30400,56300,362000,700,82600,2814,0,5,1,5200,5,1,500,37,0,185,555,10,200,114,115,0,27,64,1035700,28,63,1212600,87,0,0,0,0,64,63,7,260
