engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,owned_candidate_materialization_ns,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns,candidate_request_bounded_calls,candidate_request_unbounded_calls,candidate_request_page_limit_total,candidate_request_surplus_total,bounded_iterator_calls,bounded_iterator_limit_total,bounded_iterator_selected_total,bounded_iterator_full_count_total,full_list_translation_calls,full_list_fallback_count,exact_lookup_calls,exact_lookup_ns,exact_lookup_candidates,prefix_lookup_calls,prefix_lookup_ns,prefix_lookup_candidates,heap_exact_lookup_calls,heap_prefix_lookup_calls,no_marisa_compact_exact_lookup_calls,no_marisa_compact_prefix_lookup_calls,rsmarisa_exact_lookup_calls,rsmarisa_prefix_lookup_calls,prism_lookup_calls,prism_lookup_ns,prism_lookup_codes,abi_c_string_allocations,abi_c_string_bytes,abi_c_string_allocation_ns,sentence_candidate_calls,sentence_candidate_ns,sentence_substrings_considered,sentence_exact_lookup_calls,sentence_exact_lookup_ns,sentence_exact_lookup_candidates,sentence_prefix_lookup_calls,sentence_prefix_lookup_ns,sentence_prefix_lookup_candidates,sentence_entry_matches_collected,sentence_path_clones,sentence_path_replacements,sentence_paths_pruned,sentence_max_live_paths,sentence_result_candidates,upstream_sentence_model_calls,upstream_sentence_model_ns,upstream_sentence_model_candidates,upstream_sentence_model_code_prefix_checks,upstream_sentence_model_table_entries_considered,upstream_sentence_model_vocabulary_entries_considered,upstream_sentence_model_graph_edges,upstream_sentence_model_index_build_calls,upstream_sentence_model_index_build_ns,upstream_sentence_model_exact_range_index_hits,upstream_sentence_model_exact_range_index_misses,upstream_sentence_model_prefix_filter_hits,upstream_sentence_model_prefix_filter_misses,upstream_sentence_model_prefix_filter_early_breaks,upstream_sentence_model_reachable_starts_visited,upstream_sentence_model_unreachable_starts_skipped,upstream_sentence_model_phrase_index_walk_calls,upstream_sentence_model_phrase_index_nodes_visited,upstream_sentence_model_phrase_index_entry_ranges_emitted,upstream_sentence_model_partition_point_fallback_calls,upstream_sentence_model_graph_rebuild_calls,upstream_sentence_model_graph_rebuild_ns,upstream_sentence_model_incremental_reuse_hits,upstream_sentence_model_incremental_extend_ns,upstream_sentence_model_incremental_discarded_rebuild_chars,prefix_fallback_calls,prefix_fallback_ns,prefix_fallback_views_visited,prefix_fallback_candidates,dynamic_correction_calls,dynamic_correction_ns,dynamic_correction_codes_considered,dynamic_correction_candidates
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,37,10,10,41239300,30,41181400,20,20,1500,65,800,4000,12000,300,2600,65,0,5,1,3700,5,1,300,10,0,50,150,10,200,65,209,0,0,10,8600,0,10,39200,20,0,0,0,0,10,10,209,24800,1688,7,134,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41026500,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1219500,0,0,108,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,38,10,10,41437900,30,41371600,20,20,1400,65,700,5100,13000,300,2700,65,0,5,1,3900,5,1,400,10,0,50,150,10,200,65,209,0,0,10,9300,0,10,37900,20,0,0,0,0,10,10,209,29800,1688,7,134,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41218900,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1249700,0,0,108,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,39,10,10,41545400,30,41474200,20,20,900,65,700,5200,14800,400,2400,65,0,5,1,4100,5,1,200,10,0,50,150,10,200,65,209,0,0,10,9100,0,10,39200,20,0,0,0,0,10,10,209,32200,1688,7,134,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41318300,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1335300,0,0,108,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,40,10,10,41591500,30,41494700,20,20,1000,65,900,7600,16300,600,3000,65,0,5,1,4400,5,1,500,10,0,50,150,10,200,65,209,0,0,10,10000,0,10,42700,20,0,0,0,0,10,10,209,37800,1688,7,134,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41323400,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1389000,0,0,108,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,41,10,10,41409800,30,41322700,20,20,1000,65,700,6700,15000,200,2900,65,0,5,1,4100,5,1,500,10,0,50,150,10,200,65,209,0,0,10,10000,0,10,41600,20,0,0,0,0,10,10,209,31900,1688,7,134,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41154700,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1363700,0,0,108,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,42,10,10,41657600,30,41570200,20,20,900,65,1300,6700,15900,400,3000,65,0,5,1,6600,5,1,900,10,0,50,150,10,200,65,209,0,0,10,9300,0,10,40500,20,0,0,0,0,10,10,209,40400,1688,7,134,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41407300,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1605600,0,0,108,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,43,10,10,45074900,30,44956700,20,20,1000,65,800,8400,19600,700,3600,65,0,5,1,6000,5,1,500,10,0,50,150,10,200,65,209,0,0,10,11500,0,10,49500,20,0,0,0,0,10,10,209,41700,1688,7,134,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,44758300,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1594100,0,0,108,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,44,10,10,42012900,30,41906400,20,20,1000,65,800,7200,16900,200,2600,65,0,5,1,4100,5,1,600,10,0,50,150,10,200,65,209,0,0,10,12000,0,10,45200,20,0,0,0,0,10,10,209,36700,1688,7,134,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41717400,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1509600,0,0,108,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,45,10,10,41670500,30,41592400,20,20,1300,65,500,5600,14500,100,2700,65,0,5,1,4400,5,1,400,10,0,50,150,10,200,65,209,0,0,10,9200,0,10,42700,20,0,0,0,0,10,10,209,34500,1688,7,134,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41424600,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1295100,0,0,108,0,0,0,0,0,0,0,0
yune,track-a-comparison,luna_pinyin,key_sequence_process_with_context,cszysmsrsd,46,10,10,41541700,30,41457200,20,20,1200,65,800,6100,15100,100,2800,65,0,5,1,5200,5,1,600,10,0,50,150,10,200,65,209,0,0,10,9600,0,10,40500,20,0,0,0,0,10,10,209,31500,1688,7,134,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41295700,45,18,11094,151,11156,0,0,1652,9,9,9,9,63,45,1661,1661,0,0,18,1317300,0,0,108,0,0,0,0,0,0,0,0
