engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,0,1,48542.100,48542.100,7020544,10575872,9895936,11620352,1634304,3465216,2646016,3465216,3465216,5660672
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,1,1,28144.800,28144.800,9900032,10878976,9973760,13328384,2646016,3715072,2629632,3715072,3715072,6049792
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,2,1,26666.500,26666.500,9973760,10895360,9994240,13373440,2629632,3686400,2646016,3686400,3686400,6098944
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,3,1,26748.600,26748.600,9994240,10887168,9986048,13389824,2646016,3702784,2641920,3702784,3702784,6111232
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,4,1,26551.400,26551.400,9986048,10948608,10137600,13389824,2641920,3817472,3268608,3817472,3817472,6111232
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,5,1,27222.700,27222.700,10137600,10960896,10076160,13430784,3313664,3833856,2772992,3833856,3833856,6213632
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,6,1,26999.700,26999.700,10076160,10981376,10076160,13451264,2772992,3833856,2777088,3833856,3833856,6217728
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,7,1,26389.400,26389.400,10076160,10981376,10108928,13459456,2777088,3805184,2805760,3805184,3805184,6230016
librime-1.17.0,track-a-comparison,luna_pinyin,startup_warm_shared_assets_runtime_ready,,8,1,26622.600,26622.600,10108928,10993664,10104832,13459456,2805760,3907584,2805760,3907584,3907584,6230016
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,0,1,27259.500,27259.500,10108928,10326016,unavailable,13467648,2809856,3026944,unavailable,3026944,3026944,6234112
