engine,track,schema_id,dictionary_id,prism_id,source_path,table_path,prism_path,reverse_path,source_checksum,table_checksum,checksum_status,table_parse,prism_parse,reverse_parse,compiled_ready,selected_storage,table_format,table_mapping_mode,prism_mapping_mode,source_fallback,byte_source_len,stored_entries,table_heap_mirror_bytes,prism_heap_mirror_bytes,rsmarisa_probe_path,rsmarisa_status,rsmarisa_mapping_mode,rsmarisa_num_tries,rsmarisa_num_keys,rsmarisa_sample_key
yune,track-b-product,jyut6ping3_mobile,jyut6ping3,jyut6ping3_mobile,C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\native-track-a\track-b-yune-product\shared\jyut6ping3.dict.yaml,C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\native-track-a\track-b-yune-product\shared\jyut6ping3.table.bin,C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\native-track-a\track-b-yune-product\shared\jyut6ping3_mobile.prism.bin,C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\native-track-a\track-b-yune-product\shared\jyut6ping3.reverse.bin,0xd6ef357e,0xf6589c0c,stale,"UnsupportedSection { role: ""marisa string_table"" }",UnsupportedVersion,"UnsupportedSection { role: ""marisa reverse key/value trie"" }",false,unavailable,rime_marisa_string_table:488504,unavailable,unavailable,true,0,0,0,0,C:\Users\laubonghaudoi\Documents\GitHub\yune\docs\reports\evidence\reframed-comparison-review-2026-06-27\native-track-a\track-b-yune-product\rsmarisa-jyut6ping3-string-table.marisa,ok,mmap,3,127764,yun1
yune,track-b-product,jyut6ping3_mobile,jyut6ping3_scolar,jyut6ping3_scolar,C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\native-track-a\track-b-yune-product\shared\jyut6ping3_scolar.dict.yaml,C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\native-track-a\track-b-yune-product\shared\jyut6ping3_scolar.table.bin,C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\native-track-a\track-b-yune-product\shared\jyut6ping3_scolar.prism.bin,C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\native-track-a\track-b-yune-product\shared\jyut6ping3_scolar.reverse.bin,0x9618cf8a,0x822bccba,stale,"UnsupportedSection { role: ""marisa string_table"" }",UnsupportedVersion,"UnsupportedSection { role: ""marisa reverse key/value trie"" }",false,unavailable,rime_marisa_string_table:3090640,unavailable,unavailable,true,0,0,0,0,C:\Users\laubonghaudoi\Documents\GitHub\yune\docs\reports\evidence\reframed-comparison-review-2026-06-27\native-track-a\track-b-yune-product\rsmarisa-jyut6ping3_scolar-string-table.marisa,ok,mmap,3,249334,"yun1,1,0,,,,,,,,,=煴,,,,"
