engine,workload,input,iterations,operation_count_per_sample,median_us,p95_us,min_us,max_us,median_us_per_operation,p95_us_per_operation,median_after_ready_working_set_bytes,median_ready_delta_bytes,median_peak_working_set_bytes
yune,key_sequence_process_with_context,hao,25,3,12216.900,13688.700,11561.200,14471.400,4072.300,4562.900,171630592,0,182333440
yune,key_sequence_process_with_context,ni,25,2,5693.900,5822.400,5651.600,5833.600,2846.950,2911.200,171438080,0,182333440
yune,key_sequence_process_with_context,zhongguo,25,8,35909.100,39995.800,33583.700,40669.500,4488.638,4999.475,170770432,1056768,182333440
yune,session_create_select_destroy,,9,1,46743.400,51333.100,46081.700,51333.100,46743.400,51333.100,170463232,0,182333440
yune,startup_warm_shared_assets_runtime_ready,,9,1,47126.800,885728.100,45234.000,885728.100,47126.800,885728.100,170352640,20480,182333440
