"engine","track","schema_id","input","iterations","table_path","prism_path","selected_storage","table_mapping_mode","prism_mapping_mode","raw_prism_median_us","raw_prism_code_count","raw_table_median_us","raw_table_lookup_codes","raw_table_candidate_count","translator_median_us","real_prism_lookup_median_us","candidate_materialization_median_us","candidate_sort_median_us","filter_pipeline_median_us","ranker_pipeline_median_us","context_export_median_us","abi_c_string_allocation_median_us","free_context_median_us","rsmarisa_exact_lookup_calls_per_op","rsmarisa_prefix_lookup_calls_per_op","owned_candidates_per_op","context_page_candidates_per_op","abi_c_string_allocations_per_op","abi_c_string_bytes_per_op"
"yune","track-a-comparison","luna_pinyin","ni","80","C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-a-yune\user\build\luna_pinyin.table.bin","C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.100","1","17.400","ni","182","53.650","0.100","0.950","0.050","1.300","0.000","1.500","0.250","0.100","1.000","0.500","20.000","2.500","6.000","21.000"
"yune","track-a-comparison","luna_pinyin","hao","80","C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-a-yune\user\build\luna_pinyin.table.bin","C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","1","14.100","hao","139","34.900","0.100","1.000","0.033","1.233","0.033","1.500","0.133","0.100","1.000","0.667","20.000","1.667","4.000","16.000"
"yune","track-a-comparison","luna_pinyin","zhongguo","80","C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-a-yune\user\build\luna_pinyin.table.bin","C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","2.300","zhongguo","4","57.400","0.100","0.975","0.037","1.363","0.025","1.700","0.062","0.100","1.000","0.875","20.000","0.625","1.500","15.125"
"yune","track-a-comparison","luna_pinyin","ceshiyixiachangjushuruxingnengzenyang","80","C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-a-yune\user\build\luna_pinyin.table.bin","C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","31.500","ceshiyixiachangjushuruxingnengzenyang","0","278.859","0.065","0.159","0.032","0.795","0.024","3.300","0.016","0.300","1.000","0.973","3.108","0.135","0.189","7.027"
"yune","track-a-comparison","luna_pinyin","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","80","C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-a-yune\user\build\luna_pinyin.table.bin","C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","36.000","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","0","476.573","0.085","0.098","0.031","0.786","0.022","3.400","0.010","0.400","1.000","0.983","1.949","0.085","0.119","6.915"
"yune","track-a-comparison","luna_pinyin","cszysmsrsd","80","C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-a-yune\user\build\luna_pinyin.table.bin","C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","0.800","cszysmsrsd","0","4171.030","3.200","0.110","0.050","1.400","0.030","4.200","0.080","0.500","1.000","1.000","2.000","0.500","0.700","13.400"
"yune","track-a-comparison","luna_pinyin","zybfshmsru","80","C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-a-yune\user\build\luna_pinyin.table.bin","C:\Users\laubonghaudoi\Documents\GitHub\yune\target\native-inprocess\phase-0-baseline\track-a-yune\user\build\luna_pinyin.prism.bin","rsmarisa_byte_backed","mmap","mmap","0.000","0","0.800","zybfshmsru","0","4355.080","3.220","0.110","0.050","1.370","0.020","4.300","0.080","0.400","1.000","1.000","2.000","0.500","0.700","12.000"
