engine,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,key_sequence_process_with_context,hao,24,3,12784.700,4261.567,171671552,171671552,0,182910976
yune,key_sequence_process_with_context,zhongguo,0,8,43213.000,5401.625,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,1,8,43865.200,5483.150,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,2,8,48480.400,6060.050,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,3,8,44103.400,5512.925,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,4,8,48012.500,6001.563,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,5,8,47716.900,5964.613,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,6,8,44584.600,5573.075,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,7,8,46202.500,5775.313,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,8,8,46991.700,5873.963,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,9,8,46859.600,5857.450,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,10,8,45322.000,5665.250,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,11,8,45404.400,5675.550,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,12,8,47640.200,5955.025,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,13,8,43494.100,5436.763,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,14,8,46699.000,5837.375,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,15,8,44915.300,5614.413,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,16,8,49371.100,6171.388,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,17,8,43539.500,5442.438,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,18,8,47378.100,5922.263,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,19,8,46566.600,5820.825,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,20,8,43522.500,5440.313,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,21,8,43268.300,5408.538,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,22,8,40674.400,5084.300,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,23,8,46065.600,5758.200,171548672,171548672,0,182910976
yune,key_sequence_process_with_context,zhongguo,24,8,45608.600,5701.075,171556864,171556864,0,182910976
