engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,owned_candidate_materialization_ns,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns,candidate_request_bounded_calls,candidate_request_unbounded_calls,candidate_request_page_limit_total,candidate_request_surplus_total,bounded_iterator_calls,bounded_iterator_limit_total,bounded_iterator_selected_total,bounded_iterator_full_count_total,full_list_translation_calls,full_list_fallback_count,exact_lookup_calls,exact_lookup_ns,exact_lookup_candidates,prefix_lookup_calls,prefix_lookup_ns,prefix_lookup_candidates,heap_exact_lookup_calls,heap_prefix_lookup_calls,no_marisa_compact_exact_lookup_calls,no_marisa_compact_prefix_lookup_calls,rsmarisa_exact_lookup_calls,rsmarisa_prefix_lookup_calls,prism_lookup_calls,prism_lookup_ns,prism_lookup_codes,abi_c_string_allocations,abi_c_string_bytes,abi_c_string_allocation_ns,sentence_candidate_calls,sentence_candidate_ns,sentence_substrings_considered,sentence_exact_lookup_calls,sentence_exact_lookup_ns,sentence_exact_lookup_candidates,sentence_prefix_lookup_calls,sentence_prefix_lookup_ns,sentence_prefix_lookup_candidates,sentence_entry_matches_collected,sentence_path_clones,sentence_path_replacements,sentence_paths_pruned,sentence_max_live_paths,sentence_result_candidates,upstream_sentence_model_calls,upstream_sentence_model_ns,upstream_sentence_model_candidates,upstream_sentence_model_code_prefix_checks,upstream_sentence_model_table_entries_considered,upstream_sentence_model_vocabulary_entries_considered,upstream_sentence_model_graph_edges,upstream_sentence_model_index_build_calls,upstream_sentence_model_index_build_ns,upstream_sentence_model_exact_range_index_hits,upstream_sentence_model_exact_range_index_misses,upstream_sentence_model_prefix_filter_hits,upstream_sentence_model_prefix_filter_misses,upstream_sentence_model_prefix_filter_early_breaks,upstream_sentence_model_reachable_starts_visited,upstream_sentence_model_unreachable_starts_skipped,upstream_sentence_model_phrase_index_walk_calls,upstream_sentence_model_phrase_index_nodes_visited,upstream_sentence_model_phrase_index_entry_ranges_emitted,upstream_sentence_model_partition_point_fallback_calls,upstream_sentence_model_graph_rebuild_calls,upstream_sentence_model_graph_rebuild_ns,upstream_sentence_model_incremental_reuse_hits,upstream_sentence_model_incremental_extend_ns,upstream_sentence_model_incremental_discarded_rebuild_chars,prefix_fallback_calls,prefix_fallback_ns,prefix_fallback_views_visited,prefix_fallback_candidates,dynamic_correction_calls,dynamic_correction_ns,dynamic_correction_codes_considered,dynamic_correction_candidates
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,29,61,61,11066500,183,10918700,11058,61,2600,52,1800,17100,24900,1700,1700,52,0,0,1,1400,0,1,100,61,0,305,915,4,80,52,10840,0,57,4834,1975900,5260,118,1120200,5798,0,0,4834,118,0,0,118,30500,4716,2,124,200,57,339800,1880,1823,275000,0,57,9100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,205100,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,30,61,61,11038400,183,10888500,11058,61,3500,52,1500,15900,26100,700,2600,52,0,0,1,1400,0,1,100,61,0,305,915,4,80,52,10840,0,57,4834,1985900,5260,118,1113200,5798,0,0,4834,118,0,0,118,27100,4716,2,124,200,57,340300,1880,1823,273000,0,57,9400,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,199600,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,31,61,61,11040200,183,10894800,11058,61,3800,52,1100,17400,26000,1600,2300,52,0,0,1,1500,0,1,0,61,0,305,915,4,80,52,10840,0,57,4834,1983400,5260,118,1111100,5798,0,0,4834,118,0,0,118,31400,4716,2,124,200,57,336200,1880,1823,271000,0,57,8900,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,198800,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,32,61,61,11027800,183,10884200,11058,61,2800,52,1700,16400,25000,1500,2200,52,0,0,1,1100,0,1,0,61,0,305,915,4,80,52,10840,0,57,4834,1982500,5260,118,1120300,5798,0,0,4834,118,0,0,118,32900,4716,2,124,100,57,337200,1880,1823,270500,0,57,8500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,197400,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,33,61,61,11045800,183,10901100,11058,61,3200,52,1500,16400,24500,1500,2700,52,0,0,1,1300,0,1,100,61,0,305,915,4,80,52,10840,0,57,4834,1987300,5260,118,1127700,5798,0,0,4834,118,0,0,118,41500,4716,2,124,100,57,336700,1880,1823,270700,0,57,8900,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,198200,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,34,61,61,11137500,183,10956500,11058,61,3700,52,1800,17100,53900,1600,2100,52,0,0,1,2500,0,1,200,61,0,305,915,4,80,52,10840,0,57,4834,1984000,5260,118,1129900,5798,0,0,4834,118,0,0,118,30500,4716,2,124,500,57,343400,1880,1823,272400,0,57,9100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,198900,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,35,61,61,11520200,183,11337200,11058,61,2900,52,1600,17200,54700,1300,2600,52,0,0,1,2500,0,1,200,61,0,305,915,4,80,52,10840,0,57,4834,2007400,5260,118,1244000,5798,0,0,4834,118,0,0,118,64000,4716,2,124,400,57,342500,1880,1823,270600,0,57,9200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,198900,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,36,61,61,11607800,183,11421600,11058,61,4300,52,2000,17200,55400,800,2800,52,0,0,1,2400,0,1,300,61,0,305,915,4,80,52,10840,0,57,4834,2022700,5260,118,1260700,5798,0,0,4834,118,0,0,118,63400,4716,2,124,200,57,350900,1880,1823,278800,0,57,10000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,199600,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,37,61,61,11361100,183,11196700,11058,61,3300,52,1800,16400,39300,1100,2100,52,0,0,1,2300,0,1,200,61,0,305,915,4,80,52,10840,0,57,4834,1989600,5260,118,1196700,5798,0,0,4834,118,0,0,118,67500,4716,2,124,500,57,342000,1880,1823,272200,0,57,9300,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,199400,0,0,0,0,0,0
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,neigojangingkeisatjinggoiziwunciucoenggeoizisyujapsinhojijung,38,61,61,11088900,183,10935800,11058,61,3500,52,1400,18500,27500,1700,2600,52,0,0,1,1700,0,1,200,61,0,305,915,4,80,52,10840,0,57,4834,1987000,5260,118,1109800,5798,0,0,4834,118,0,0,118,37100,4716,2,124,300,57,341100,1880,1823,275800,0,57,8900,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,202400,0,0,0,0,0,0
