engine,track,schema_id,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes,before_private_bytes,after_ready_private_bytes,after_finalize_private_bytes,private_bytes,pagefile_bytes,peak_pagefile_bytes
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,23,1,30210.900,30210.900,11005952,10883072,unavailable,14098432,3469312,2985984,unavailable,2985984,2985984,6287360
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,24,1,31488.700,31488.700,10903552,11030528,unavailable,14098432,3014656,3465216,unavailable,3465216,3465216,6287360
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,25,1,30542.700,30542.700,11030528,11034624,unavailable,14098432,3465216,3825664,unavailable,3825664,3825664,6287360
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,26,1,33380.100,33380.100,11034624,11014144,unavailable,14098432,3825664,3637248,unavailable,3637248,3637248,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,27,1,38086.700,38086.700,11014144,11034624,unavailable,14098432,3637248,3457024,unavailable,3457024,3457024,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,28,1,32044.200,32044.200,11034624,11014144,unavailable,14098432,3457024,3457024,unavailable,3457024,3457024,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,29,1,31214.500,31214.500,11014144,11096064,unavailable,14098432,3457024,3530752,unavailable,3530752,3530752,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,30,1,30659.400,30659.400,11100160,11096064,unavailable,14098432,3530752,3211264,unavailable,3211264,3211264,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,31,1,28842.000,28842.000,11096064,11177984,unavailable,14098432,3211264,3608576,unavailable,3608576,3608576,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,32,1,29487.600,29487.600,11177984,11186176,unavailable,14098432,3608576,3301376,unavailable,3301376,3301376,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,33,1,29238.500,29238.500,11186176,11108352,unavailable,14098432,3301376,3219456,unavailable,3219456,3219456,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,34,1,29743.300,29743.300,11108352,11268096,unavailable,14110720,3219456,3985408,unavailable,3985408,3985408,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,35,1,29496.300,29496.300,11268096,11108352,unavailable,14110720,3985408,3215360,unavailable,3215360,3215360,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,36,1,27685.400,27685.400,11108352,11161600,unavailable,14110720,3215360,3272704,unavailable,3272704,3272704,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,37,1,29227.900,29227.900,11161600,11173888,unavailable,14110720,3272704,3727360,unavailable,3727360,3727360,6356992
librime-1.17.0,track-a-comparison,luna_pinyin,session_create_select_destroy,,38,1,28027.700,28027.700,11173888,11161600,unavailable,14110720,3727360,4145152,unavailable,4145152,4145152,6356992
