"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","1","3","36.100","12.033","11972608","11972608","unavailable","14176256"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","2","3","39.100","13.033","11976704","11980800","unavailable","14176256"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","3","3","35.300","11.767","11980800","11980800","unavailable","14176256"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","4","3","35.600","11.867","11980800","11980800","unavailable","14176256"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","0","8","1538.900","192.362","12984320","12984320","unavailable","14299136"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","1","8","1532.600","191.575","12984320","12808192","unavailable","14299136"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","2","8","1555.300","194.412","12808192","12804096","unavailable","14299136"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","3","8","1518.700","189.838","12804096","12820480","unavailable","14299136"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhongguo","4","8","1517.400","189.675","12820480","12812288","unavailable","14299136"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","0","37","11257.700","304.262","15077376","15052800","unavailable","15241216"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","1","37","11255.900","304.214","15056896","15085568","unavailable","15282176"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","2","37","11093.900","299.835","15085568","15089664","unavailable","15282176"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","3","37","11037.700","298.316","15089664","15089664","unavailable","15282176"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ceshiyixiachangjushuruxingnengzenyang","4","37","11017.700","297.776","15089664","15118336","unavailable","15310848"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","0","59","41509.900","703.558","16224256","16265216","unavailable","16515072"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","1","59","40879.500","692.873","16265216","16248832","unavailable","16515072"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","2","59","40866.100","692.646","16252928","16248832","unavailable","16515072"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","3","59","41757.600","707.756","16248832","16371712","unavailable","16650240"
"librime-1.17.0","track-a-comparison","luna_pinyin","key_sequence_process_with_context","zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong","4","59","42056.400","712.820","16371712","16379904","unavailable","16695296"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","0","1","2987077.800","2987077.800","4734976","111353856","108359680","177500160"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","1","1","24281.900","24281.900","108441600","112209920","107950080","177500160"
"yune","track-a-comparison","luna_pinyin","startup_warm_shared_assets_runtime_ready","","2","1","24150.400","24150.400","107954176","111521792","107999232","177500160"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","0","1","24568.800","24568.800","108007424","107974656","unavailable","177500160"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","1","1","26360.100","26360.100","107978752","107937792","unavailable","177500160"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","2","1","29298.800","29298.800","107937792","107962368","unavailable","177500160"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","3","1","27751.100","27751.100","107962368","107982848","unavailable","177500160"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","4","1","28369.500","28369.500","107982848","108032000","unavailable","177500160"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","5","1","25659.400","25659.400","108032000","108007424","unavailable","177500160"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","6","1","24882.100","24882.100","108007424","108052480","unavailable","177500160"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","7","1","25702.200","25702.200","108052480","107986944","unavailable","177500160"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","8","1","25121.600","25121.600","107986944","108048384","unavailable","177500160"
"yune","track-a-comparison","luna_pinyin","session_create_select_destroy","","9","1","24889.100","24889.100","108048384","108011520","unavailable","177500160"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","0","2","113.900","56.950","111841280","111869952","unavailable","177500160"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","1","2","116.800","58.400","111869952","111869952","unavailable","177500160"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","2","2","113.700","56.850","111869952","111869952","unavailable","177500160"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","3","2","113.000","56.500","111869952","111869952","unavailable","177500160"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","ni","4","2","119.900","59.950","111869952","111874048","unavailable","177500160"
"yune","track-a-comparison","luna_pinyin","key_sequence_process_with_context","hao","0","3","114.600","38.200","111923200","111923200","unavailable","177500160"
