"profile","evidence_dir","definition","working_set_bytes","working_set_mb","private_bytes","private_mb","peak_working_set_bytes","peak_working_set_mb","allocator_live_bytes","allocator_live_mb","allocator_high_water_bytes","allocator_high_water_mb","named_owner_bytes","heap_owned_named_owner_bytes","clean_mmap_file_backed_estimate_bytes","shared_or_overlapping_bytes","lookup_record_owner_bytes","apparent_resident_over_named_gap_bytes","private_minus_allocator_live_bytes","comments_retained","reverse_ui","conclusion"
"comments_intact_keyboard","comments-intact-keyboard-current","jyut6ping3_mobile with rich TypeDuck dictionary comments retained and luna reverse translator disabled","86863872","82.8","35201024","33.6","99115008","94.5","26841513","25.6","62835401","59.9","73092720","4195278","34602818","34292637","31717345","13771152","8359511","true","disabled","Current main: remaining steady private/live heap is not the bulk; resident excess is mapped/shared compiled assets plus compact lookup/index/payload rows."
"full_mobile","full-mobile-current","jyut6ping3_mobile default, no opt-outs","97456128","92.9","43520000","41.5","108785664","103.7","33898595","32.3","62835401","59.9","86124829","4856616","40740505","40525721","37253867","11331299","9621405","true","enabled","Current main: remaining steady private/live heap is not the bulk; resident excess is mapped/shared compiled assets plus compact lookup/index/payload rows."
