event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
,"baseline_process_start",5304320,5.1,790528,0.8,5304320,5.1,4579,0,9233,0,,,"Windows process baseline before temporary schema copy"
,"after_temp_schema_copy",6393856,6.1,1036288,1,6393856,6.1,5749,0,26489,0,,,"temporary committed schema bundle copied into isolated runtime dirs"
,"after_setup",6594560,6.3,1036288,1,6594560,6.3,7327,0,26489,0,,,"RimeApi setup complete"
,"after_initialize",6602752,6.3,1036288,1,6602752,6.3,7405,0,26489,0,,,"RimeApi initialize complete"
,"after_deploy",11132928,10.6,2486272,2.4,83820544,79.9,8472,0,62833086,59.9,,,"deploy reused prebuilt assets; create_session has not run"
,"after_create_session",233975808,223.1,211685376,201.9,242741248,231.5,162516694,155,172791764,164.8,124404191,19888937,"create_session loaded the workspace default schema"
,"after_select_schema",234405888,223.5,212160512,202.3,242741248,231.5,162516821,155,172791764,164.8,124404191,19888937,"select_schema applied requested active schema"
,"after_typing_neihoumaa",234795008,223.9,212180992,202.4,242741248,231.5,162575594,155,172791764,164.8,124404191,19888937,"realistic short Jyutping typing path"
,"steady_after_esc",234795008,223.9,212180992,202.4,242741248,231.5,162569857,155,172791764,164.8,124404191,19888937,"steady sample after ESC clear"
