"engine","track","schema_id","workload","input","sample_index","operation_count","total_us","us_per_operation","before_working_set_bytes","after_ready_working_set_bytes","after_finalize_working_set_bytes","peak_working_set_bytes","before_private_bytes","after_ready_private_bytes","after_finalize_private_bytes","private_bytes","pagefile_bytes","peak_pagefile_bytes"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","22","1","27976.900","27976.900","10354688","10670080","unavailable","13574144","3059712","3584000","unavailable","3584000","3584000","6516736"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","23","1","28527.200","28527.200","10670080","10543104","unavailable","13574144","3584000","3526656","unavailable","3526656","3526656","6516736"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","24","1","28529.300","28529.300","10563584","10543104","unavailable","13574144","3555328","3497984","unavailable","3497984","3497984","6516736"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","25","1","32464.100","32464.100","10543104","10526720","unavailable","13574144","3497984","3710976","unavailable","3710976","3710976","6516736"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","26","1","29032.000","29032.000","10526720","10457088","unavailable","13574144","3710976","3190784","unavailable","3190784","3190784","6516736"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","27","1","32482.700","32482.700","10457088","10526720","unavailable","13574144","3190784","3252224","unavailable","3252224","3252224","6516736"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","28","1","29631.500","29631.500","10526720","10350592","unavailable","13582336","3252224","3067904","unavailable","3067904","3067904","6516736"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","29","1","27953.800","27953.800","10350592","10637312","unavailable","13582336","3067904","3375104","unavailable","3375104","3375104","6516736"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","30","1","27441.700","27441.700","10637312","10657792","unavailable","13611008","3375104","3399680","unavailable","3399680","3399680","6516736"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","31","1","27446.400","27446.400","10661888","10567680","unavailable","13615104","3399680","3301376","unavailable","3301376","3301376","6516736"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","32","1","26363.700","26363.700","10567680","10678272","unavailable","13615104","3301376","3416064","unavailable","3416064","3416064","6516736"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","33","1","27809.000","27809.000","10678272","10481664","unavailable","13615104","3416064","3203072","unavailable","3203072","3203072","6516736"
"librime-1.17.0","track-a-comparison","luna_pinyin","session_create_select_destroy","","34","1","26822.200","26822.200","10481664","10649600","unavailable","13615104","3203072","3383296","unavailable","3383296","3383296","6516736"
