event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
38,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:before_dictionary_load",66629632,63.5,30478336,29.1,84946944,81,21996592,21,62835401,59.9,,,""
39,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_byte_source_open:table_bytes=4640555",66629632,63.5,30482432,29.1,84946944,81,21997695,21,62835401,59.9,,,""
40,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_prism_byte_source_open:prism_bytes=1497453",66629632,63.5,30482432,29.1,84946944,81,21997899,21,62835401,59.9,,,""
41,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_bytes_read:reverse_bytes=1263091",67895296,64.8,31748096,30.3,84946944,81,23260938,22.2,62835401,59.9,,,""
42,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",74248192,70.8,37457920,35.7,84946944,81,28186141,26.9,62835401,59.9,,,""
43,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_advanced_merge_drop",66912256,63.8,31023104,29.6,84946944,81,21998133,21,62835401,59.9,,,""
44,"m47:compact_table:after_lookup_record_payload_skip:lookup_texts=62158:lookup_records=70807",70959104,67.7,31023104,29.6,84946944,81,21998293,21,62835401,59.9,,,""
45,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_advanced_payload_parse:lookup_texts=62158:lookup_records=70807",73449472,70,33517568,32,84946944,81,24484839,23.4,62835401,59.9,,,""
46,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_compact_table_store_parse",77078528,73.5,35667968,34,84946944,81,27997185,26.7,62835401,59.9,,,""
47,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_dictionary_load",77078528,73.5,35667968,34,84946944,81,27996674,26.7,62835401,59.9,,,""
48,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=19975",78888960,75.2,37900288,36.1,84946944,81,28997820,27.7,62835401,59.9,,,""
49,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_translator_index_build",78979072,75.3,38060032,36.3,84946944,81,29035608,27.7,62835401,59.9,,,""
50,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:before_dictionary_load",79126528,75.5,38236160,36.5,84946944,81,29036417,27.7,62835401,59.9,,,""
51,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:after_byte_backed_dictionary_load:lookup_texts=125487:lookup_records=127144",103763968,99,50446336,48.1,108785664,103.7,41183875,39.3,62835401,59.9,,,""
52,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:after_filter_install",103776256,99,50446336,48.1,108785664,103.7,41184237,39.3,62835401,59.9,,,""
53,"m47:phase:after_create_session",96825344,92.3,43307008,41.3,108785664,103.7,33848760,32.3,62835401,59.9,,,""
54,"m47:phase:after_select_schema",96870400,92.4,43307008,41.3,108785664,103.7,33848887,32.3,62835401,59.9,,,""
55,"m47:phase:after_typing_neihoumaa",97456128,92.9,43520000,41.5,108785664,103.7,33904332,32.3,62835401,59.9,,,""
56,"m47:phase:steady_after_esc",97456128,92.9,43520000,41.5,108785664,103.7,33898595,32.3,62835401,59.9,,,""
