engine,workload,input,sample_index,operation_count,total_us,us_per_operation,before_working_set_bytes,after_ready_working_set_bytes,after_finalize_working_set_bytes,peak_working_set_bytes
yune,key_sequence_process_with_context,hao,24,3,13554.600,4518.200,171585536,171585536,0,182444032
yune,key_sequence_process_with_context,zhongguo,0,8,33701.800,4212.725,171786240,171786240,0,182444032
yune,key_sequence_process_with_context,zhongguo,1,8,33557.900,4194.738,171786240,171786240,0,182444032
yune,key_sequence_process_with_context,zhongguo,2,8,33485.400,4185.675,171786240,171786240,0,182444032
yune,key_sequence_process_with_context,zhongguo,3,8,34685.100,4335.638,171786240,171790336,0,182444032
yune,key_sequence_process_with_context,zhongguo,4,8,34638.000,4329.750,171790336,171790336,0,182444032
yune,key_sequence_process_with_context,zhongguo,5,8,33754.200,4219.275,171790336,170917888,0,182444032
yune,key_sequence_process_with_context,zhongguo,6,8,33415.500,4176.938,170917888,171954176,0,182444032
yune,key_sequence_process_with_context,zhongguo,7,8,34594.900,4324.363,171954176,171954176,0,182444032
yune,key_sequence_process_with_context,zhongguo,8,8,34505.000,4313.125,171954176,171954176,0,182444032
yune,key_sequence_process_with_context,zhongguo,9,8,38682.400,4835.300,171954176,171180032,0,182444032
yune,key_sequence_process_with_context,zhongguo,10,8,37931.700,4741.463,171180032,172367872,0,182444032
yune,key_sequence_process_with_context,zhongguo,11,8,37214.500,4651.813,172367872,172371968,0,182444032
yune,key_sequence_process_with_context,zhongguo,12,8,38549.400,4818.675,172371968,173039616,0,182444032
yune,key_sequence_process_with_context,zhongguo,13,8,36182.400,4522.800,173039616,173039616,0,182444032
yune,key_sequence_process_with_context,zhongguo,14,8,34975.300,4371.913,173039616,173039616,0,182444032
yune,key_sequence_process_with_context,zhongguo,15,8,36462.300,4557.788,173039616,173039616,0,182444032
yune,key_sequence_process_with_context,zhongguo,16,8,38963.100,4870.388,173039616,172331008,0,182444032
yune,key_sequence_process_with_context,zhongguo,17,8,38158.400,4769.800,172331008,172752896,0,182444032
yune,key_sequence_process_with_context,zhongguo,18,8,39358.100,4919.763,172752896,172822528,0,182444032
yune,key_sequence_process_with_context,zhongguo,19,8,38500.400,4812.550,172822528,172822528,0,182444032
yune,key_sequence_process_with_context,zhongguo,20,8,37238.900,4654.863,172822528,172822528,0,182444032
yune,key_sequence_process_with_context,zhongguo,21,8,37278.600,4659.825,172822528,172822528,0,182444032
yune,key_sequence_process_with_context,zhongguo,22,8,35848.500,4481.063,172822528,172822528,0,182444032
yune,key_sequence_process_with_context,zhongguo,23,8,35667.800,4458.475,172822528,172822528,0,182444032
yune,key_sequence_process_with_context,zhongguo,24,8,35371.200,4421.400,172822528,172822528,0,182444032
