engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns,candidate_request_bounded_calls,candidate_request_unbounded_calls,candidate_request_page_limit_total,candidate_request_surplus_total,bounded_iterator_calls,bounded_iterator_limit_total,bounded_iterator_selected_total,bounded_iterator_full_count_total,full_list_translation_calls,full_list_fallback_count,exact_lookup_calls,exact_lookup_ns,exact_lookup_candidates,prefix_lookup_calls,prefix_lookup_ns,prefix_lookup_candidates,heap_exact_lookup_calls,heap_prefix_lookup_calls,no_marisa_compact_exact_lookup_calls,no_marisa_compact_prefix_lookup_calls,rsmarisa_exact_lookup_calls,rsmarisa_prefix_lookup_calls,abi_c_string_allocations,abi_c_string_bytes
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,18,3,3,22770600,9,22697200,19918,52,48,300,1600,48600,100,1400,48,0,5,1,4200,5,1,500,3,0,15,45,3,60,48,19739,0,0,7634,3143600,8353,3,2453400,11565,0,0,7634,3,0,0,12,309
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,hai,19,3,3,23105000,9,23043800,19918,52,48,100,1300,43000,0,1400,48,0,5,1,3500,5,1,300,3,0,15,45,3,60,48,19739,0,0,7634,3176900,8353,3,2390000,11565,0,0,7634,3,0,0,12,309
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,0,7,7,12063900,21,11976600,13954,62,53,500,2100,59600,100,1200,53,0,0,1,2400,0,1,500,7,0,35,105,4,80,53,12930,0,3,4729,1936300,5277,10,1781400,8677,0,0,4729,10,0,0,2,16
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,1,7,7,11553100,21,11457400,13954,62,53,500,2800,62300,100,1800,53,0,0,1,2200,0,1,400,7,0,35,105,4,80,53,12930,0,3,4729,1916800,5277,10,1764100,8677,0,0,4729,10,0,0,2,16
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,2,7,7,11237000,21,11166600,13954,62,53,600,1900,45800,300,1500,53,0,0,1,2000,0,1,100,7,0,35,105,4,80,53,12930,0,3,4729,1884200,5277,10,1697700,8677,0,0,4729,10,0,0,2,16
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,3,7,7,11529400,21,11426900,13954,62,53,400,2000,71100,100,1400,53,0,0,1,2200,0,1,200,7,0,35,105,4,80,53,12930,0,3,4729,1909500,5277,10,1766100,8677,0,0,4729,10,0,0,2,16
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,4,7,7,11401700,21,11307000,13954,62,53,300,1500,66200,300,1600,53,0,0,1,2100,0,1,300,7,0,35,105,4,80,53,12930,0,3,4729,1884000,5277,10,1792900,8677,0,0,4729,10,0,0,2,16
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,5,7,7,11229100,21,11162800,13954,62,53,200,1900,41700,400,1300,53,0,0,1,2000,0,1,200,7,0,35,105,4,80,53,12930,0,3,4729,1893400,5277,10,1725500,8677,0,0,4729,10,0,0,2,16
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,6,7,7,11248900,21,11185600,13954,62,53,500,1600,38800,100,1300,53,0,0,1,1700,0,1,400,7,0,35,105,4,80,53,12930,0,3,4729,1896000,5277,10,1717700,8677,0,0,4729,10,0,0,2,16
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,ngohaig,7,7,7,11506000,21,11424000,13954,62,53,300,2900,50900,200,1600,53,0,0,1,2100,0,1,200,7,0,35,105,4,80,53,12930,0,3,4729,1922300,5277,10,1697600,8677,0,0,4729,10,0,0,2,16
