scenarioId,app,build,schema,sampleIndex,readyToInputMs,inputToCandidateMs,commitMs,firstCandidateText,committedValue,wasmReadyBytes,wasmPeakBytes,resourceTransferBytes,resourceUniqueEncodedBytes,storageUsageBytes,workerUrls,consoleErrors
yune-public-demo,yune-web,public-demo-dist,jyutping,4,5984,93,119,你,你,936509440,936509440,34656714,34294568,30875762,http://127.0.0.1:58000/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-public-demo,yune-web,public-demo-dist,jyutping,5,5905,93,106,你,你,936509440,936509440,34656714,34294568,30875762,http://127.0.0.1:58000/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
yune-public-demo,yune-web,public-demo-dist,jyutping,6,5949,92,113,呢,你,936509440,936509440,34656714,34294568,30875762,http://127.0.0.1:58000/worker.js?v=yune-web-wasm-heap-v1&schema=jyut6ping3,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,0,909,90,124,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,1,641,84,112,你,你,16777216,16777216,8951281,8946481,16045811,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,2,578,97,125,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,3,608,98,111,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,4,572,100,111,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,5,609,99,110,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,luna_pinyin,6,624,80,117,你,你,16777216,16777216,8951281,8946481,16062668,https://my-rime.vercel.app/worker.js,
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,0,982,114,113,你,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,1,994,89,123,我,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,2,1002,102,122,你,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,3,971,93,124,你,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,4,932,98,110,你,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,5,916,78,110,我,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
my-rime-live,my-rime,vercel-live-c73ea17,jyutping,6,973,92,123,你,你,59375616,71303168,26133518,26125718,41618760,https://my-rime.vercel.app/worker.js,console:error mapped_file.cc:78] attempt to open non-existent file '/rime/build/loengfan.table.bin'. | console:error table.cc:260] Error opening table file '/rime/build/loengfan.table.bin'. | console:error dictionary.cc:368] Error loading table for dictionary 'loengfan'.
