scenarioId,sampleIndex,schema,appSchema,mode,publicDemo,readyToInputMs,startupCompleteMs,cacheHits,cacheMisses,cacheErrors,transferBytes,encodedBytes,wasmHeapBytes,peakWasmHeapBytes,wasmMemoryMarkerCount,firstKeyMedianMs,firstKeyP95Ms,firstKeyPeakWasmHeapBytes
tracked-luna-cold,0,luna_pinyin,luna_pinyin,real-worker-cold,false,1200,587,0,0,0,36594991,36593791,167772160,167772160,12,29,106,167772160
tracked-luna-cold,1,luna_pinyin,luna_pinyin,real-worker-cold,false,1197,603,0,0,0,36594979,36593779,167772160,167772160,12,31,112,167772160
tracked-luna-cold,2,luna_pinyin,luna_pinyin,real-worker-cold,false,1210,608,0,0,0,36594991,36593791,167772160,167772160,12,38,114,167772160
tracked-luna-warm-reload,0,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,615,548,0,0,0,0,36875347,167772160,167772160,12,38,134,167772160
tracked-luna-warm-reload,1,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,616,555,0,0,0,0,36875347,167772160,167772160,12,38,117,167772160
tracked-luna-warm-reload,2,luna_pinyin,luna_pinyin,real-worker-warm-reload,false,582,523,0,0,0,0,39902678,167772160,167772160,12,36,177,167772160
tracked-luna-warm-new-page,0,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,654,554,0,0,0,0,36593791,167772160,167772160,12,38,114,167772160
tracked-luna-warm-new-page,1,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,634,526,0,0,0,0,36593791,167772160,167772160,12,34,113,167772160
tracked-luna-warm-new-page,2,luna_pinyin,luna_pinyin,real-worker-warm-new-page,false,654,555,0,0,0,0,36593791,167772160,167772160,12,38,118,167772160
tracked-jyut-cold,0,jyut6ping3_mobile,jyut6ping3,real-worker-cold,false,5843,5249,0,0,0,33359106,33357906,936574976,936574976,12,36,70,936574976
tracked-jyut-cold,1,jyut6ping3_mobile,jyut6ping3,real-worker-cold,false,5942,5294,0,0,0,33359106,33357906,936509440,936509440,12,49,152,936509440
tracked-jyut-cold,2,jyut6ping3_mobile,jyut6ping3,real-worker-cold,false,5900,5305,0,0,0,33359106,33357906,936509440,936509440,12,47,139,936509440
tracked-jyut-warm-reload,0,jyut6ping3_mobile,jyut6ping3,real-worker-warm-reload,false,5315,5247,0,0,0,0,36666793,936509440,936509440,12,44,60,936509440
tracked-jyut-warm-reload,1,jyut6ping3_mobile,jyut6ping3,real-worker-warm-reload,false,5302,5246,0,0,0,0,36666793,936509440,936509440,12,46,61,936509440
tracked-jyut-warm-reload,2,jyut6ping3_mobile,jyut6ping3,real-worker-warm-reload,false,5215,5152,0,0,0,0,36666793,936509440,936509440,12,46,116,936509440
tracked-jyut-warm-new-page,0,jyut6ping3_mobile,jyut6ping3,real-worker-warm-new-page,false,5419,5309,0,0,0,0,33357906,936509440,936509440,12,42,62,936509440
tracked-jyut-warm-new-page,1,jyut6ping3_mobile,jyut6ping3,real-worker-warm-new-page,false,5351,5220,0,0,0,0,33357894,936509440,936509440,12,41,63,936509440
tracked-jyut-warm-new-page,2,jyut6ping3_mobile,jyut6ping3,real-worker-warm-new-page,false,5287,5189,0,0,0,0,33357906,936509440,936509440,12,39,70,936509440
tracked-mock-cold,0,luna_pinyin,luna_pinyin,mock-worker-cold,false,593,0,0,0,0,747840,746640,0,0,0,25,25,0
tracked-mock-cold,1,luna_pinyin,luna_pinyin,mock-worker-cold,false,619,0,0,0,0,747840,746640,0,0,0,11,11,0
tracked-mock-cold,2,luna_pinyin,luna_pinyin,mock-worker-cold,false,608,0,0,0,0,747840,746640,0,0,0,26,26,0
tracked-mock-warm,0,luna_pinyin,luna_pinyin,mock-worker-warm,false,387,0,0,0,0,747840,746640,0,0,0,29,29,0
tracked-mock-warm,1,luna_pinyin,luna_pinyin,mock-worker-warm,false,383,0,0,0,0,747840,746640,0,0,0,25,25,0
tracked-mock-warm,2,luna_pinyin,luna_pinyin,mock-worker-warm,false,381,0,0,0,0,747840,746640,0,0,0,28,28,0
public-luna-cold,0,luna_pinyin,luna_pinyin,real-worker-cold,true,1236,637,2,24,0,36594919,36593719,167772160,167772160,12,35,129,167772160
public-luna-cold,1,luna_pinyin,luna_pinyin,real-worker-cold,true,1316,731,2,24,0,36594931,36593731,167772160,167772160,12,37,116,167772160
public-luna-cold,2,luna_pinyin,luna_pinyin,real-worker-cold,true,1249,621,2,24,0,36594931,36593731,167772160,167772160,12,26,105,167772160
public-jyut-cold,0,jyut6ping3_mobile,jyut6ping3,real-worker-cold,true,5858,5255,1,35,0,33359046,33357846,936509440,936509440,12,47,136,936509440
public-jyut-cold,1,jyut6ping3_mobile,jyut6ping3,real-worker-cold,true,5902,5296,1,35,0,33359046,33357846,936509440,936509440,12,41,99,936509440
public-jyut-cold,2,jyut6ping3_mobile,jyut6ping3,real-worker-cold,true,5980,5333,1,35,0,33359046,33357846,936509440,936509440,12,41,61,936509440
