event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
,"baseline_process_start",5423104,5.2,798720,0.8,5423104,5.2,4579,0,9233,0,,,"Windows process baseline before temporary schema copy"
,"after_temp_schema_copy",6680576,6.4,1036288,1,6680576,6.4,5749,0,26489,0,,,"temporary committed schema bundle copied into isolated runtime dirs"
,"after_setup",6889472,6.6,1036288,1,6889472,6.6,7327,0,26489,0,,,"RimeApi setup complete"
,"after_initialize",6897664,6.6,1036288,1,6897664,6.6,7405,0,26489,0,,,"RimeApi initialize complete"
,"after_deploy",17805312,17,2818048,2.7,91316224,87.1,13081,0,62835401,59.9,,,"deploy reused prebuilt assets; create_session has not run"
,"after_create_session",86294528,82.3,34099200,32.5,99115008,94.5,26791678,25.6,62835401,59.9,73092720,34602818,"create_session loaded the workspace default schema"
,"after_select_schema",86511616,82.5,35024896,33.4,99115008,94.5,26791805,25.6,62835401,59.9,73092720,34602818,"select_schema applied requested active schema"
,"after_typing_neihoumaa",86863872,82.8,35201024,33.6,99115008,94.5,26847250,25.6,62835401,59.9,73092720,34602818,"realistic short Jyutping typing path"
,"steady_after_esc",86863872,82.8,35201024,33.6,99115008,94.5,26841513,25.6,62835401,59.9,73092720,34602818,"steady sample after ESC clear"
