event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
,"baseline_process_start",5349376,5.1,794624,0.8,5349376,5.1,4579,0,9233,0,,,"Windows process baseline before temporary schema copy"
,"after_temp_schema_copy",6635520,6.3,1040384,1,6635520,6.3,5749,0,26489,0,,,"temporary committed schema bundle copied into isolated runtime dirs"
,"after_setup",6889472,6.6,1040384,1,6889472,6.6,7327,0,26489,0,,,"RimeApi setup complete"
,"after_initialize",6897664,6.6,1040384,1,6897664,6.6,7405,0,26489,0,,,"RimeApi initialize complete"
,"after_deploy",12390400,11.8,2678784,2.6,84717568,80.8,13081,0,62835401,59.9,,,"deploy reused prebuilt assets; create_session has not run"
,"after_create_session",203788288,194.3,167034880,159.3,212520960,202.7,122295315,116.6,132563909,126.4,145255855,40740505,"create_session loaded the workspace default schema"
,"after_select_schema",204169216,194.7,167456768,159.7,212520960,202.7,122295442,116.6,132563909,126.4,145255855,40740505,"select_schema applied requested active schema"
,"after_typing_neihoumaa",204681216,195.2,167456768,159.7,212520960,202.7,122350887,116.7,132563909,126.4,145255855,40740505,"realistic short Jyutping typing path"
,"steady_after_esc",204681216,195.2,167456768,159.7,212520960,202.7,122345150,116.7,132563909,126.4,145255855,40740505,"steady sample after ESC clear"
