event_index,phase,working_set_bytes,working_set_mb,private_bytes,private_mb,peak_working_set_bytes,peak_working_set_mb,allocator_live_bytes,allocator_live_mb,allocator_high_water_bytes,allocator_high_water_mb,named_owner_bytes,clean_mmap_file_backed_estimate_bytes,conclusion
41,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_bytes_read:reverse_bytes=1263091",111939584,106.8,78012416,74.4,162893824,155.3,51996472,49.6,91348571,87.1,,,""
42,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_dictionary_parse:lookup_texts=0:lookup_records=0",118648832,113.2,84021248,80.1,162893824,155.3,56921675,54.3,91348571,87.1,,,""
43,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_reverse_advanced_merge_drop",113414144,108.2,78778368,75.1,162893824,155.3,50733667,48.4,91348571,87.1,,,""
44,"m47:compact_table:after_lookup_record_payload_parse:lookup_texts=62158:lookup_records=70807",133603328,127.4,95338496,90.9,162893824,155.3,65420459,62.4,91348571,87.1,,,""
45,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_table_advanced_payload_parse:lookup_texts=62158:lookup_records=70807",133603328,127.4,95338496,90.9,162893824,155.3,65420637,62.4,91348571,87.1,,,""
46,"m47:compiled_dictionary:luna_pinyin_yune_reverse:after_compact_table_store_parse",160591872,153.2,122732544,117,162893824,155.3,83619613,79.7,91348571,87.1,,,""
47,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_dictionary_load",140718080,134.2,103870464,99.1,162893824,155.3,68932472,65.7,91348571,87.1,,,""
48,"m47:compact_table:after_all_codes_normal_codes_hashset:normal_codes=19975",159776768,152.4,123150336,117.4,162893824,155.3,84620248,80.7,91348571,87.1,,,""
49,"m47:translator:script_translator@luna_pinyin:dictionary:luna_pinyin_yune_reverse:after_translator_index_build",144101376,137.4,107339776,102.4,162893824,155.3,69971350,66.7,91348571,87.1,,,""
50,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:before_dictionary_load",144326656,137.6,107761664,102.8,162893824,155.3,69972159,66.7,91348571,87.1,,,""
51,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:after_dictionary_load:lookup_texts=125487:lookup_records=127144",210665472,200.9,174178304,166.1,212520960,202.7,129630556,123.6,132563909,126.4,,,""
52,"m47:filter:dictionary_lookup_filter@dictionary_lookup_filter:dictionary:jyut6ping3_scolar:after_filter_install",210681856,200.9,174178304,166.1,212520960,202.7,129630910,123.6,132563909,126.4,,,""
53,"m47:phase:after_create_session",203788288,194.3,167034880,159.3,212520960,202.7,122295315,116.6,132563909,126.4,,,""
54,"m47:phase:after_select_schema",204169216,194.7,167456768,159.7,212520960,202.7,122295442,116.6,132563909,126.4,,,""
55,"m47:phase:after_typing_neihoumaa",204681216,195.2,167456768,159.7,212520960,202.7,122350887,116.7,132563909,126.4,,,""
56,"m47:phase:steady_after_esc",204681216,195.2,167456768,159.7,212520960,202.7,122345150,116.7,132563909,126.4,,,""
